                   x               P1(x)               P3(x)               P5(x)               P7(x)
           -0.942994              -0.943              -0.682              -0.303               0.072
           -0.942794              -0.943              -0.681              -0.301               0.074
           -0.942594              -0.943               -0.68              -0.299               0.076
           -0.942394              -0.942              -0.679              -0.297               0.079
           -0.942194              -0.942              -0.678              -0.295               0.081
           -0.941994              -0.942              -0.677              -0.293               0.083
           -0.941794              -0.942              -0.676              -0.291               0.085
           -0.941594              -0.942              -0.675               -0.29               0.087
           -0.941394              -0.941              -0.674              -0.288               0.089
           -0.941194              -0.941              -0.673              -0.286               0.091
           -0.940994              -0.941              -0.672              -0.284               0.094
           -0.940794              -0.941              -0.671              -0.282               0.096
           -0.940594              -0.941               -0.67               -0.28               0.098
           -0.940394               -0.94              -0.668              -0.278                 0.1
           -0.940194               -0.94              -0.667              -0.276               0.102
           -0.939994               -0.94              -0.666              -0.274               0.104
           -0.939794               -0.94              -0.665              -0.272               0.106
           -0.939594               -0.94              -0.664              -0.271               0.108
           -0.939394              -0.939              -0.663              -0.269                0.11
           -0.939194              -0.939              -0.662              -0.267               0.112
           -0.938994              -0.939              -0.661              -0.265               0.114
           -0.938794              -0.939               -0.66              -0.263               0.116
           -0.938594              -0.939              -0.659              -0.261               0.118
           -0.938394              -0.938              -0.658              -0.259                0.12
           -0.938194              -0.938              -0.657              -0.257               0.122
           -0.937994              -0.938              -0.656              -0.256               0.124
           -0.937794              -0.938              -0.655              -0.254               0.126
           -0.937594              -0.938              -0.654              -0.252               0.128
           -0.937394              -0.937              -0.653               -0.25                0.13
           -0.937194              -0.937              -0.652              -0.248               0.132
           -0.936994              -0.937              -0.651              -0.246               0.134
           -0.936794              -0.937               -0.65              -0.245               0.136
           -0.936594              -0.937              -0.649              -0.243               0.138
           -0.936394              -0.936              -0.648              -0.241                0.14
           -0.936194              -0.936              -0.647              -0.239               0.142
           -0.935994              -0.936              -0.646              -0.237               0.144
           -0.935794              -0.936              -0.645              -0.235               0.146
           -0.935594              -0.936              -0.644              -0.234               0.148
           -0.935394              -0.935              -0.643              -0.232                0.15
           -0.935194              -0.935              -0.642               -0.23               0.152
           -0.934993              -0.935              -0.641              -0.228               0.153
           -0.934793              -0.935               -0.64              -0.226               0.155
           -0.934593              -0.935              -0.639              -0.225               0.157
           -0.934393              -0.934              -0.638              -0.223               0.159
           -0.934193              -0.934              -0.637              -0.221               0.161
           -0.933993              -0.934              -0.636              -0.219               0.163
           -0.933793              -0.934              -0.635              -0.217               0.164
           -0.933593              -0.934              -0.634              -0.216               0.166
           -0.933393              -0.933              -0.633              -0.214               0.168
           -0.933193              -0.933              -0.632              -0.212                0.17
           -0.932993              -0.933              -0.631               -0.21               0.172
           -0.932793              -0.933               -0.63              -0.209               0.173
           -0.932593              -0.933              -0.629              -0.207               0.175
           -0.932393              -0.932              -0.628              -0.205               0.177
           -0.932193              -0.932              -0.627              -0.203               0.179
           -0.931993              -0.932              -0.626              -0.202               0.181
           -0.931793              -0.932              -0.625                -0.2               0.182
           -0.931593              -0.932              -0.624              -0.198               0.184
           -0.931393              -0.931              -0.623              -0.196               0.186
           -0.931193              -0.931              -0.622              -0.195               0.187
           -0.930993              -0.931              -0.621              -0.193               0.189
           -0.930793              -0.931               -0.62              -0.191               0.191
           -0.930593              -0.931              -0.619              -0.189               0.193
           -0.930393               -0.93              -0.618              -0.188               0.194
           -0.930193               -0.93              -0.617              -0.186               0.196
           -0.929993               -0.93              -0.616              -0.184               0.198
           -0.929793               -0.93              -0.615              -0.182               0.199
           -0.929593               -0.93              -0.614              -0.181               0.201
           -0.929393              -0.929              -0.613              -0.179               0.203
           -0.929193              -0.929              -0.612              -0.177               0.204
           -0.928993              -0.929              -0.611              -0.176               0.206
           -0.928793              -0.929               -0.61              -0.174               0.207
           -0.928593              -0.929              -0.609              -0.172               0.209
           -0.928393              -0.928              -0.608               -0.17               0.211
           -0.928193              -0.928              -0.607              -0.169               0.212
           -0.927993              -0.928              -0.606              -0.167               0.214
           -0.927793              -0.928              -0.605              -0.165               0.215
           -0.927593              -0.928              -0.604              -0.164               0.217
           -0.927393              -0.927              -0.603              -0.162               0.219
           -0.927193              -0.927              -0.602               -0.16                0.22
           -0.926993              -0.927              -0.601              -0.159               0.222
           -0.926793              -0.927                -0.6              -0.157               0.223
           -0.926593              -0.927              -0.599              -0.155               0.225
           -0.926393              -0.926              -0.598              -0.154               0.226
           -0.926193              -0.926              -0.597              -0.152               0.228
           -0.925993              -0.926              -0.596               -0.15               0.229
           -0.925793              -0.926              -0.595              -0.149               0.231
           -0.925593              -0.926              -0.594              -0.147               0.232
           -0.925393              -0.925              -0.593              -0.145               0.234
           -0.925193              -0.925              -0.592              -0.144               0.235
           -0.924992              -0.925              -0.591              -0.142               0.237
           -0.924792              -0.925               -0.59               -0.14               0.238
           -0.924592              -0.925              -0.589              -0.139                0.24
           -0.924392              -0.924              -0.588              -0.137               0.241
           -0.924192              -0.924              -0.587              -0.135               0.243
           -0.923992              -0.924              -0.586              -0.134               0.244
           -0.923792              -0.924              -0.585              -0.132               0.245
           -0.923592              -0.924              -0.584               -0.13               0.247
           -0.923392              -0.923              -0.583              -0.129               0.248
           -0.923192              -0.923              -0.582              -0.127                0.25
           -0.922992              -0.923              -0.581              -0.126               0.251
           -0.922792              -0.923               -0.58              -0.124               0.253
           -0.922592              -0.923              -0.579              -0.122               0.254
           -0.922392              -0.922              -0.578              -0.121               0.255
           -0.922192              -0.922              -0.577              -0.119               0.257
           -0.921992              -0.922              -0.576              -0.118               0.258
           -0.921792              -0.922              -0.575              -0.116               0.259
           -0.921592              -0.922              -0.574              -0.114               0.261
           -0.921392              -0.921              -0.573              -0.113               0.262
           -0.921192              -0.921              -0.573              -0.111               0.263
           -0.920992              -0.921              -0.572               -0.11               0.265
           -0.920792              -0.921              -0.571              -0.108               0.266
           -0.920592              -0.921               -0.57              -0.106               0.267
           -0.920392               -0.92              -0.569              -0.105               0.269
           -0.920192               -0.92              -0.568              -0.103                0.27
           -0.919992               -0.92              -0.567              -0.102               0.271
           -0.919792               -0.92              -0.566                -0.1               0.273
           -0.919592               -0.92              -0.565              -0.099               0.274
           -0.919392              -0.919              -0.564              -0.097               0.275
           -0.919192              -0.919              -0.563              -0.095               0.276
           -0.918992              -0.919              -0.562              -0.094               0.278
           -0.918792              -0.919              -0.561              -0.092               0.279
           -0.918592              -0.919               -0.56              -0.091                0.28
           -0.918392              -0.918              -0.559              -0.089               0.281
           -0.918192              -0.918              -0.558              -0.088               0.283
           -0.917992              -0.918              -0.557              -0.086               0.284
           -0.917792              -0.918              -0.556              -0.085               0.285
           -0.917592              -0.918              -0.555              -0.083               0.286
           -0.917392              -0.917              -0.554              -0.081               0.288
           -0.917192              -0.917              -0.553               -0.08               0.289
           -0.916992              -0.917              -0.552              -0.078                0.29
           -0.916792              -0.917              -0.551              -0.077               0.291
           -0.916592              -0.917               -0.55              -0.075               0.292
           -0.916392              -0.916              -0.549              -0.074               0.293
           -0.916192              -0.916              -0.548              -0.072               0.295
           -0.915992              -0.916              -0.547              -0.071               0.296
           -0.915792              -0.916              -0.546              -0.069               0.297
           -0.915592              -0.916              -0.545              -0.068               0.298
           -0.915392              -0.915              -0.545              -0.066               0.299
           -0.915192              -0.915              -0.544              -0.065                 0.3
           -0.914991              -0.915              -0.543              -0.063               0.301
           -0.914791              -0.915              -0.542              -0.062               0.303
           -0.914591              -0.915              -0.541               -0.06               0.304
           -0.914391              -0.914               -0.54              -0.059               0.305
           -0.914191              -0.914              -0.539              -0.057               0.306
           -0.913991              -0.914              -0.538              -0.056               0.307
           -0.913791              -0.914              -0.537              -0.054               0.308
           -0.913591              -0.914              -0.536              -0.053               0.309
           -0.913391              -0.913              -0.535              -0.051                0.31
           -0.913191              -0.913              -0.534               -0.05               0.311
           -0.912991              -0.913              -0.533              -0.048               0.312
           -0.912791              -0.913              -0.532              -0.047               0.313
           -0.912591              -0.913              -0.531              -0.045               0.314
           -0.912391              -0.912               -0.53              -0.044               0.316
           -0.912191              -0.912              -0.529              -0.043               0.317
           -0.911991              -0.912              -0.528              -0.041               0.318
           -0.911791              -0.912              -0.527               -0.04               0.319
           -0.911591              -0.912              -0.526              -0.038                0.32
           -0.911391              -0.911              -0.525              -0.037               0.321
           -0.911191              -0.911              -0.525              -0.035               0.322
