              x          T3(x)          T5(x)          T7(x)          T9(x)
         -0.436       0.976473      -0.774451     -0.0164507       0.794844
         -0.434       0.975014      -0.781429   -0.000903307       0.782555
         -0.432       0.973514      -0.788303      0.0146277       0.769968
          -0.43       0.971972      -0.795074      0.0301387       0.757087
         -0.428       0.970389      -0.801739       0.045626       0.743919
         -0.426       0.968765      -0.808299      0.0610862        0.73047
         -0.424         0.9671      -0.814754      0.0765157       0.716746
         -0.422       0.965394      -0.821103       0.091911       0.702753
          -0.42       0.963648      -0.827346       0.107269       0.688497
         -0.418       0.961861      -0.833482       0.122585       0.673986
         -0.416       0.960035       -0.83951       0.137857       0.659225
         -0.414       0.958168      -0.845432       0.153081        0.64422
         -0.412       0.956262      -0.851245       0.168253       0.628979
          -0.41       0.954316       -0.85695       0.183371       0.613507
         -0.408       0.952331      -0.862546        0.19843       0.597812
         -0.406       0.950306      -0.868034       0.213429         0.5819
         -0.404       0.948243      -0.873412       0.228362       0.565777
         -0.402       0.946141      -0.878681       0.243228       0.549452
           -0.4          0.944       -0.88384       0.258022        0.53293
         -0.398       0.941821      -0.888889       0.272743       0.516218
         -0.396       0.939603      -0.893827       0.287386       0.499323
         -0.394       0.937348      -0.898655       0.301948       0.482252
         -0.392       0.935055      -0.903373       0.316427       0.465012
          -0.39       0.932724      -0.907979       0.330819       0.447611
         -0.388       0.930356      -0.912474       0.345122       0.430054
         -0.386        0.92795      -0.916857       0.359332        0.41235
         -0.384       0.925508      -0.921129       0.373446       0.394504
         -0.382       0.923028      -0.925288       0.387462       0.376525
          -0.38       0.920512      -0.929336       0.401376       0.358419
         -0.378       0.917959      -0.933272       0.415186       0.340194
         -0.376        0.91537      -0.937095       0.428889       0.321856
         -0.374       0.912746      -0.940806       0.442482       0.303413
         -0.372       0.910085      -0.944405       0.455963       0.284871
          -0.37       0.907388       -0.94789       0.469328       0.266238
         -0.368       0.904656      -0.951263       0.482575       0.247522
         -0.366       0.901888      -0.954523       0.495702       0.228729
         -0.364       0.899086      -0.957671       0.508705       0.209866
         -0.362       0.896248      -0.960705       0.521583        0.19094
          -0.36       0.893376      -0.963626       0.534332       0.171959
         -0.358       0.890469      -0.966434       0.546951        0.15293
         -0.356       0.887528      -0.969129       0.559436        0.13386
         -0.354       0.884553      -0.971711       0.571785       0.114755
         -0.352       0.881543      -0.974179       0.583997       0.095624
          -0.35         0.8785      -0.976535       0.596068      0.0764725
         -0.348       0.875423      -0.978777       0.607996      0.0573081
         -0.346       0.872313      -0.980907        0.61978      0.0381378
         -0.344        0.86917      -0.982923       0.631416      0.0189684
         -0.342       0.865993      -0.984826       0.642903   -0.000192924
          -0.34       0.862784      -0.986617       0.654238     -0.0193394
         -0.338       0.859542      -0.988294       0.665419      -0.038464
         -0.336       0.856268      -0.989859       0.676445       -0.05756
         -0.334       0.852961      -0.991311       0.687313     -0.0766205
         -0.332       0.849623       -0.99265       0.698022     -0.0956388
          -0.33       0.846252      -0.993877       0.708569      -0.114608
         -0.328        0.84285      -0.994991       0.718952      -0.133522
         -0.326       0.839416      -0.995993       0.729169      -0.152373
         -0.324       0.835951      -0.996883        0.73922      -0.171155
         -0.322       0.832455      -0.997661       0.749101      -0.189862
          -0.32       0.828928      -0.998327       0.758811      -0.208487
         -0.318        0.82537      -0.998882       0.768349      -0.227023
         -0.316       0.821782      -0.999325       0.777713      -0.245464
         -0.314       0.818163      -0.999656       0.786901      -0.263804
         -0.312       0.814515      -0.999877       0.795911      -0.282037
          -0.31       0.810836      -0.999987       0.804742      -0.300155
         -0.308       0.807128      -0.999986       0.813393      -0.318154
         -0.306        0.80339      -0.999874       0.821862      -0.336027
         -0.304       0.799622      -0.999653       0.830148      -0.353767
         -0.302       0.795826      -0.999321       0.838249      -0.371369
           -0.3          0.792       -0.99888       0.846163      -0.388828
         -0.298       0.788146      -0.998329        0.85389      -0.406136
         -0.296       0.784263      -0.997669       0.861429      -0.423289
         -0.294       0.780351      -0.996901       0.868778       -0.44028
         -0.292       0.776412      -0.996023       0.875935      -0.457104
          -0.29       0.772444      -0.995038       0.882901      -0.473756
         -0.288       0.768449      -0.993944       0.889673       -0.49023
         -0.286       0.764425      -0.992743       0.896251       -0.50652
         -0.284       0.760375      -0.991434       0.902634      -0.522621
         -0.282       0.756297      -0.990019        0.90882      -0.538529
          -0.28       0.752192      -0.988497       0.914809      -0.554237
         -0.278        0.74806      -0.986868       0.920599       -0.56974
         -0.276       0.743902      -0.985134       0.926191      -0.585035
         -0.274       0.739717      -0.983294       0.931583      -0.600115
         -0.272       0.735505      -0.981348       0.936775      -0.614976
          -0.27       0.731268      -0.979298       0.941765      -0.629613
         -0.268       0.727005      -0.977144       0.946553      -0.644022
         -0.266       0.722716      -0.974885       0.951139      -0.658198
         -0.264       0.718401      -0.972523       0.955522      -0.672136
         -0.262       0.714061      -0.970058       0.959701      -0.685832
          -0.26       0.709696       -0.96749       0.963675      -0.699282
         -0.258       0.705306       -0.96482       0.967445      -0.712482
         -0.256       0.700891      -0.962048        0.97101      -0.725427
         -0.254       0.696452      -0.959174       0.974369      -0.738113
         -0.252       0.691988        -0.9562       0.977522      -0.750537
          -0.25         0.6875      -0.953125       0.980469      -0.762695
         -0.248       0.682988       -0.94995       0.983209      -0.774583
         -0.246       0.678452      -0.946676       0.985743      -0.786197
         -0.244       0.673893      -0.943302        0.98807      -0.797534
         -0.242        0.66931       -0.93983       0.990189      -0.808591
          -0.24       0.664704       -0.93626       0.992102      -0.819364
         -0.238       0.660075      -0.932593       0.993807      -0.829849
         -0.236       0.655423      -0.928828       0.995305      -0.840044
         -0.234       0.650748      -0.924967       0.996596      -0.849946
         -0.232       0.646051       -0.92101        0.99768      -0.859552
          -0.23       0.641332      -0.916958       0.998556      -0.868859
         -0.228       0.636591      -0.912811       0.999225      -0.877865
         -0.226       0.631827       -0.90857       0.999688      -0.886566
         -0.224       0.627042      -0.904235       0.999944       -0.89496
         -0.222       0.622236      -0.899807       0.999993      -0.903045
          -0.22       0.617408      -0.895286       0.999836      -0.910818
         -0.218       0.612559      -0.890673       0.999474      -0.918278
         -0.216       0.607689      -0.885969       0.998906      -0.925423
         -0.214       0.602799      -0.881174       0.998133      -0.932249
         -0.212       0.597887      -0.876289       0.997155      -0.938756
          -0.21       0.592956      -0.871315       0.995973      -0.944942
         -0.208       0.588004      -0.866251       0.994588      -0.950805
         -0.206       0.583033      -0.861099       0.992999      -0.956344
         -0.204       0.578041       -0.85586       0.991208      -0.961556
         -0.202        0.57303      -0.850533       0.989215      -0.966441
           -0.2          0.568       -0.84512       0.987021      -0.970998
         -0.198        0.56295      -0.839621       0.984626      -0.975226
         -0.196       0.557882      -0.834037       0.982031      -0.979122
         -0.194       0.552794      -0.828369       0.979238      -0.982688
         -0.192       0.547688      -0.822617       0.976246      -0.985921
          -0.19       0.542564      -0.816782       0.973056      -0.988821
         -0.188       0.537421      -0.810864        0.96967      -0.991388
         -0.186       0.532261      -0.804865       0.966089      -0.993621
         -0.184       0.527082      -0.798784       0.962312       -0.99552
         -0.182       0.521886      -0.792624       0.958342      -0.997084
          -0.18       0.516672      -0.786383       0.954179      -0.998314
         -0.178       0.511441      -0.780064       0.949825      -0.999209
         -0.176       0.506193      -0.773666        0.94528      -0.999769
         -0.174       0.500928      -0.767191       0.940545      -0.999995
         -0.172       0.495646       -0.76064       0.935622      -0.999887
          -0.17       0.490348      -0.754012       0.930512      -0.999445
         -0.168       0.485033      -0.747309       0.925216      -0.998669
         -0.166       0.479703      -0.740531       0.919735      -0.997562
         -0.164       0.474356      -0.733679        0.91407      -0.996122
         -0.162       0.468994      -0.726755       0.908224      -0.994351
          -0.16       0.463616      -0.719758       0.902196       -0.99225
         -0.158       0.458223      -0.712689       0.895989       -0.98982
         -0.156       0.452814       -0.70555       0.889604      -0.987061
         -0.154       0.447391      -0.698341       0.883043      -0.983976
         -0.152       0.441953      -0.691062       0.876306      -0.980565
          -0.15         0.4365      -0.683715       0.869396      -0.976831
         -0.148       0.431033        -0.6763       0.862313      -0.972773
         -0.146       0.425551      -0.668819        0.85506      -0.968395
         -0.144       0.420056      -0.661271       0.847637      -0.963697
         -0.142       0.414547      -0.653658       0.840048      -0.958683
          -0.14       0.409024      -0.645981       0.832292      -0.953352
         -0.138       0.403488      -0.638239       0.824372      -0.947708
         -0.136       0.397938      -0.630435        0.81629      -0.941753
         -0.134       0.392376      -0.622569       0.808047      -0.935488
         -0.132         0.3868      -0.614642       0.799645      -0.928917
          -0.13       0.381212      -0.606654       0.791086      -0.922041
         -0.128       0.375611      -0.598607       0.782372      -0.914863
         -0.126       0.369998      -0.590501       0.773504      -0.907386
         -0.124       0.364374      -0.582337       0.764484      -0.899612
         -0.122       0.358737      -0.574115       0.755314      -0.891544
          -0.12       0.353088      -0.565838       0.745996      -0.883184
         -0.118       0.347428      -0.557505       0.736532      -0.874537
         -0.116       0.341756      -0.549118       0.726924      -0.865604
         -0.114       0.336074      -0.540677       0.717174      -0.856389
         -0.112        0.33038      -0.532183       0.707284      -0.846895
          -0.11       0.324676      -0.523638       0.697255      -0.837126
         -0.108       0.318961      -0.515041       0.687091      -0.827084
         -0.106       0.313236      -0.506394       0.676792      -0.816773
         -0.104       0.307501      -0.497697       0.666362      -0.806197
         -0.102       0.301755      -0.488952       0.655802      -0.795359
           -0.1          0.296       -0.48016       0.645114      -0.784263
         -0.098       0.290235      -0.471321         0.6343      -0.772912
         -0.096       0.284461      -0.462436       0.623363      -0.761311
         -0.094       0.278678      -0.453506       0.612305      -0.749463
         -0.092       0.272885      -0.444532       0.601128      -0.737373
